id,value
0,37
1,19
2,66
3,8
4,83
5,63
6,45
7,70
8,32
9,1
10,57
11,17
12,47
13,79
14,87
15,100
16,62
17,23
18,6
19,48
20,16
21,93
22,68
23,82
24,48
25,87
26,41
27,48
28,13
29,56
30,90
31,88
32,51
33,76
34,42
35,46
36,97
37,51
38,82
39,15
40,74
41,49
42,30
43,7
44,65
45,95
46,11
47,14
48,51
49,74
50,26
51,9
52,99
53,92
54,46
55,29
56,35
57,75
58,80
59,7
60,95
61,4
62,71
63,58
64,85
65,67
66,23
67,48
68,79
69,88
70,68
71,32
72,31
73,38
74,56
75,56
76,56
77,18
78,65
79,80
80,49
81,14
82,37
83,65
84,4
85,32
86,51
87,11
88,16
89,83
90,27
91,19
92,42
93,8
94,80
95,60
96,75
97,56
98,3
99,71
100,5
101,42
102,13
103,93
104,32
105,16
106,61
107,83
108,91
109,4
110,3
111,97
112,82
113,76
114,61
115,53
116,75
117,4
118,38
119,69
120,78
121,9
122,27
123,38
124,27
125,18
126,27
127,95
128,31
129,62
130,47
131,74
132,94
133,25
134,28
135,12
136,51
137,76
138,53
139,1
140,14
141,39
142,68
143,52
144,12
145,32
146,81
147,81
148,43
149,20
150,51
151,20
152,59
153,4
154,36
155,44
156,78
157,74
158,32
159,17
160,38
161,90
162,60
163,51
164,76
165,40
166,99
167,27
168,23
169,44
170,5
171,57
172,65
173,33
174,87
175,93
176,17
177,47
178,91
179,75
180,100
181,68
182,86
183,67
184,57
185,5
186,71
187,31
188,38
189,6
190,29
191,22
192,51
193,1
194,92
195,64
196,6
197,50
198,23
199,37
200,25
201,20
202,90
203,62
204,1
205,25
206,61
207,78
208,80
209,65
210,92
211,65
212,78
213,64
214,91
215,39
216,80
217,40
218,44
219,91
