"symbol","price","volume","timestamp","anomaly_result","printed_alert","time","diff"
"GOOGL","259.91","528605.0","2025-10-25T23:23:10.420559","✓ Normal: GOOGL steady at $259.91 (+0.00%)","✓ Normal: GOOGL steady at $259.91 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T03:22:18.382544","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-25T23:24:39.196226","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-25T23:34:41.721821","✓ Normal: GOOGL steady at $259.91 (+0.00%)","✓ Normal: GOOGL steady at $259.91 (+0.00%)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-25T23:55:26.612490","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T02:02:48.455820","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-25T23:33:21.105646","✓ Normal: TSLA steady at $433.59 (+0.00%)","✓ Normal: TSLA steady at $433.59 (+0.00%)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-25T23:43:00.526489","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-25T23:11:21.096182","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-25T23:55:54.651878","⚠️ ALERT: AAPL dropped 0.0% to $262.74 (score: 0.00)","⚠️ ALERT: AAPL dropped 0.0% to $262.74 (score: 0.00)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-26T03:10:15.235936","✓ Normal: TSLA steady at $433.59 (+0.00%)","✓ Normal: TSLA steady at $433.59 (+0.00%)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-25T23:55:30.396473","⚠️ ALERT: TSLA dropped 0.0% to $433.59 (score: 0.00)","⚠️ ALERT: TSLA dropped 0.0% to $433.59 (score: 0.00)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-26T03:22:28.401063","⚠️ ALERT: AAPL dropped 0.0% to $262.74 (score: 0.00)","⚠️ ALERT: AAPL dropped 0.0% to $262.74 (score: 0.00)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-25T23:56:57.854983","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-25T23:33:49.078345","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T02:04:43.291946","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-25T23:27:59.011188","✓ Normal: GOOGL steady at $259.91 (+0.00%)","✓ Normal: GOOGL steady at $259.91 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T02:04:08.300931","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-25T23:31:22.895505","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
